Content,Likes,Retweets,Replies,Quotes,Views,Labels,cleaned_sentence,encoded_labels
"@safaricom ni maumbwa sana, najua hizi zitaenda waste. Wameninyima nety bana😓 https://t.co/KjJGT71kSb",1,0,0,0,25,Network reliability problem,safaricom ni maumbwa sana najua hizi zitaenda waste Wameninyima nety bana,5
"#Ethiopia birr -5%/$ official rate YTD. Official bilateral  debt service pause thru next July pursue,  match #China 1/2 hold $30 billion external total. Eurobond $35 million coupon due Dec, no taker private telecom license auction, @Safaricom rocky launch  . #EmergingMarkets",0,0,0,0,67,Neutral,Ethiopia birr 5 official rate YTD Official bilateral debt service pause thru next July pursue match China 12 hold 30 billion external total Eurobond 35 million coupon due Dec no taker private telecom license auction Safaricom rocky launch EmergingMarkets,6
"@Safaricom_Care Hello @safaricom, there is a group of fraudsters claiming to be epic centre they are using safaricom MPESA for people to send them money, one of the numbers they use is +254791942911 kindly block it.yesterday I sent money on that number. And they are still trying to scum me",0,0,1,0,0,MPESA complaint,SafaricomCare Hello safaricom there is a group of fraudsters claiming to be epic centre they are using safaricom MPESA for people to send them money one of the numbers they use is 254791942911 kindly block ityesterday I sent money on that number And they are still trying to scum me,4
"@Zuku_WeCare Zuku, when will I get the service I pay for? I am having consistent internet quality issues. a 30mbps connection should not be struggling to stream video on 1 device. been in contact regularly daily since upgrade &amp; yet nothing changes. Maybe @safaricom are better?",2,0,1,0,0,Internet or airtime bundle complaint,ZukuWeCare Zuku when will I get the service I pay for I am having consistent internet quality issues a 30mbps connection should not be struggling to stream video on 1 device been in contact regularly daily since upgrade amp yet nothing changes Maybe safaricom are better,3
@TrezaNgesa @UNEP @NemaKenya @netfund @PACJA1 @WWF @Greenpeace @kfs @kws @kwta @Fibanda1 @safaricom @spheelmodels @ForAffair @muindi_elijah @SpiceWarriors @DrAlfredMutua @MachakosC Correct!,3,1,0,0,0,Neutral,TrezaNgesa UNEP NemaKenya netfund PACJA1 WWF Greenpeace kfs kws kwta Fibanda1 safaricom spheelmodels ForAffair muindielijah SpiceWarriors DrAlfredMutua MachakosC Correct,6
"@RobertAlai @SafaricomPLC @safaricom has been there for me, Not only for me but for the rich and the poor every corner of this country, safaricom has helped  connect with friends. That fuliza,  okoa jahazi, those cheap mbs, those sms, that 1gb in my every birthday and that quick network. #TwendeTukiuke",1,0,0,0,0,Neutral,RobertAlai SafaricomPLC safaricom has been there for me Not only for me but for the rich and the poor every corner of this country safaricom has helped connect with friends That fuliza okoa jahazi those cheap mbs those sms that 1gb in my every birthday and that quick network TwendeTukiuke,6
@Zuku_WeCare fix this 291387 if not I kid you not tomorrow I move to and immediately  @Safaricom. You have 10 minutes.,0,0,1,0,0,Customer care complaint,ZukuWeCare fix this 291387 if not I kid you not tomorrow I move to and immediately Safaricom You have 10 minutes,0
"New government measures hope to provide @Ethiotelecom mobile money offering, @Telebirr, a boost as @Safaricom's M-Pesa gets the green light in #Ethiopia https://t.co/WMKVTnGH9K",3,1,0,0,1216,Neutral,New government measures hope to provide Ethiotelecom mobile money offering Telebirr a boost as Safaricoms MPesa gets the green light in Ethiopia,6
"@elonmusk @elonmusk  buy @airtel kenya and improve on mobile banking, we are tired of @safaricom",0,0,0,0,14,MPESA complaint,elonmusk elonmusk buy airtel kenya and improve on mobile banking we are tired of safaricom,4
@krizzohkairosh @safaricom Eeeh bana,1,0,0,0,23,Neutral,krizzohkairosh safaricom Eeeh bana,6
@Aaroncheruiyot Bwana those eurobonds that you and your bosses swallowed like @safaricom does to our bundles are now taking 8 of every 10 shillings kenya collects as revenue. What transformation are you talking about?,0,0,0,0,53,Internet or airtime bundle complaint,Aaroncheruiyot Bwana those eurobonds that you and your bosses swallowed like safaricom does to our bundles are now taking 8 of every 10 shillings kenya collects as revenue What transformation are you talking about,3
@MkenyaD254 We should also start boycotting @Safaricom because it's the tool which is being used to track and abduct our innocent comrades who are being found dead along roadsides and in public mortuaries. #BoycottSafaricom and all the others involved in the abductions.,1,0,0,0,64,Hate Speech,MkenyaD254 We should also start boycotting Safaricom because it is the tool which is being used to track and abduct our innocent comrades who are being found dead along roadsides and in public mortuaries BoycottSafaricom and all the others involved in the abductions,2
@safaricom hourly bandles is a scam🫠 how is it that 30 minutes later am still struggling with network...magically. Fr tho🚮🚮🚮,0,0,0,0,62,Network reliability problem,safaricom hourly bandles is a scam how is it that 30 minutes later am still struggling with networkmagically Fr tho,5
@safaricom the home fibre speed is getting worse by the day. What's the problem,0,0,0,0,0,Network reliability problem,safaricom the home fibre speed is getting worse by the day what is the problem,5
@jothefu_1 @safaricom Talk to Safaricom. I'm just the messenger :) You can also finance the router over 3 years. You have options.,0,0,0,0,84,Neutral,jothefu1 safaricom Talk to Safaricom I am just the messenger You can also finance the router over 3 years You have options,6
@SafaricomPLC Ningependa kujua yale anayopitia coz ka @safaricom ndiye tuko in a reationship with i wonder what a blood tie relationship would be 😂😂😂,0,0,0,0,0,Neutral,SafaricomPLC Ningependa kujua yale anayopitia coz ka safaricom ndiye tuko in a reationship with i wonder what a blood tie relationship would be,6
"@Safaricom, someone else working extra hard in these trying times for your attention. https://t.co/U3fXU0Nfvt",0,0,0,0,0,Neutral,Safaricom someone else working extra hard in these trying times for your attention,6
@Cheptech @safaricom @Visa @MicrosoftAfrica @Google @Oracle @eldohub @sasa_kazi @OleItumbi @WilliamsRuto @tanuijohn @EliudOwalo @benliquidkenya @pthigo @UKinKenya @innovateuk @CountrywideHubs Good stuff,0,0,0,0,0,Neutral,Cheptech safaricom Visa MicrosoftAfrica Google Oracle eldohub sasakazi OleItumbi WilliamsRuto tanuijohn EliudOwalo benliquidkenya pthigo UKinKenya innovateuk CountrywideHubs Good stuff,6
"@safaricom.com@the internet officer in 2019 after complain after I had bought a safari com big box which could not work, my internet was improved by Issa Ogor and it worked. internet was nice and disappeared after a few months.what has happened@Britney  Mutheu .",0,0,0,0,0,Internet or airtime bundle complaint,safaricomcomthe internet officer in 2019 after complain after I had bought a safari com big box which could not work my internet was improved by Issa Ogor and it worked internet was nice and disappeared after a few monthswhat has happenedBritney Mutheu,3
@WashyGlen @mainandegwa232 @SafaricomPLC @safaricom Fb mkuu ✔️,0,0,0,0,5,Neutral,WashyGlen mainandegwa232 SafaricomPLC safaricom Fb mkuu,6
@safaricom network at ngara/muranga road has been poor since yesterday. Kindly address the gaps.,0,0,1,0,49,Network reliability problem,safaricom network at ngaramuranga road has been poor since yesterday Kindly address the gaps,5
"Saf did t wt a till-number linked no.07208510**
When they sold the number they couldn’t have the person they handed it over to to access M-PESA. Out of sincere corporate caution, wt regard t line replacement saf. maneuvers very recklessly @safaricom @AmbokoJH @Rozay_kamau",0,1,0,0,249,MPESA complaint,Saf did t wt a tillnumber linked no07208510 When they sold the number they couldnt have the person they handed it over to to access MPESA Out of sincere corporate caution wt regard t line replacement saf maneuvers very recklessly safaricom AmbokoJH Rozaykamau,4
@Akinyi19Abongo @ledamalekina @safaricom sasa wewe watu ya NAROK ilikupea na Narok County ama Ethiopia...!!?ama kuna Ethiopia_mini NAROK..kujichanya na ni KIONGOSI..,0,0,0,0,0,Neutral,Akinyi19Abongo ledamalekina safaricom sasa wewe watu ya NAROK ilikupea na Narok County ama Ethiopiaama kuna Ethiopiamini NAROKkujichanya na ni KIONGOSI,6
@bcbarasa @C_NyaKundiH @safaricom Thought I was alone https://t.co/CfYO2eG4hr,0,0,0,0,25,Neutral,bcbarasa CNyaKundiH safaricom Thought I was alone,6
Anyone using @Safaricom advise me if their SIM keeps sending this message in the picture continuously?! It’s driving me insane… https://t.co/7S6v2XFGlS,0,0,1,0,122,Network reliability problem,Anyone using Safaricom advise me if their SIM keeps sending this message in the picture continuously Its driving me insane,5
@TrezaNgesa @Environment_Ke @NemaKenya @UNEP @netfund @WWF @Greenpeace @kfs @kws @kwta @Fibanda1 @safaricom @OptivenFoundatn @spheelmodels @DrAlfredMutua @MachakosC @enviroment ☑️☑️☑️💚,1,0,0,0,0,Neutral,TrezaNgesa EnvironmentKe NemaKenya UNEP netfund WWF Greenpeace kfs kws kwta Fibanda1 safaricom OptivenFoundatn spheelmodels DrAlfredMutua MachakosC enviroment,6
@safaricom Who will win #SafaricomSOYAwards2019 gala tonight?,15,6,5,1,0,Neutral,safaricom Who will win SafaricomSOYAwards2019 gala tonight,6
Am stuck at a restaurant with my bae and mpesa wont respond #mpesa @safaricom whats up,12,1,3,0,0,MPESA complaint,Am stuck at a restaurant with my bae and mpesa wont respond mpesa safaricom whats up,4
@isaca_kenya @CIO East Africa @safaricom PLC #IoT #information  https://t.co/BQrpqWxYfG,0,0,0,0,0,Neutral,isacakenya CIO East Africa safaricom PLC IoT information,6
"Have you downloaded the new @Safaricom PLC  M-Pesa App? Create impressions that last by capturing your audiences attention during long dwell times.
Contact us to explore our exciting advertising inventory. #SGR #NCR #KenyaRailways #OOH #Transitadvertising #Digitalmara https://t.co/Gxz8ew95S5",3,1,1,0,0,Neutral,Have you downloaded the new Safaricom PLC MPesa App Create impressions that last by capturing your audiences attention during long dwell times Contact us to explore our exciting advertising inventory SGR NCR KenyaRailways OOH Transitadvertising Digitalmara,6
"@Safaricom_Care @Safaricom The phone number cannot receive AirTime Credit either because it is too new, it is not a safaricom prepay line or has expired.What Does it  Mean??",0,0,3,0,43,Internet or airtime bundle complaint,SafaricomCare Safaricom The phone number cannot receive AirTime Credit either because it is too new it is not a safaricom prepay line or has expiredWhat Does it Mean,3
@Osama_otero @safaricom,0,0,0,0,11,Neutral,Osamaotero safaricom,6
"Dear Customer! Happy Birthday! As you turn a year older, @Safaricom celebrates you with 1GB FREE for Valid untill midnight.
@SafaricomPLC thank you for wishes I appriaciate but kindly refresh your data base my birthday is coming in a month's time.",0,0,1,0,58,Customer care complaint,Dear Customer Happy Birthday As you turn a year older Safaricom celebrates you with 1GB FREE for Valid untill midnight SafaricomPLC thank you for wishes I appriaciate but kindly refresh your data base my birthday is coming in a months time,0
@mckendave @ahmednasirlaw @safaricom Supermarkets are now in line... sending unnecessary SMS,2,0,0,0,0,Neutral,mckendave ahmednasirlaw safaricom Supermarkets are now in line sending unnecessary SMS,6
@safaricom  your network is becoming shitty by the day work on this .,1,0,0,0,10,Network reliability problem,safaricom your network is becoming shitty by the day work on this,5
"@ItsDevMutai I agree with you, I hope @safaricom considers our quest, for learning purposes. I have always wondered the tech stack and architecture behind @safaricom m-pesa. It would be great to learn how they implement High availability, Load balancing, disaster recovery, monitoring and",1,0,1,0,33,Neutral,ItsDevMutai I agree with you I hope safaricom considers our quest for learning purposes I have always wondered the tech stack and architecture behind safaricom mpesa It would be great to learn how they implement High availability Load balancing disaster recovery monitoring and,6
"@14Cheruiyot @safaricom Hello Cheruiyot, thank you for writing to us and our apologies for any inconvenience this might have caused. We are following up with our handling team to address under the reference number 250128-000837.",0,0,2,0,28,Customer care complaint,14Cheruiyot safaricom Hello Cheruiyot thank you for writing to us and our apologies for any inconvenience this might have caused We are following up with our handling team to address under the reference number 25012800837,0
@Safaricom Huwa wanashindia kusema Pin Yako. Siri Yako.,0,0,0,0,24,Data protection and privacy concern,Safaricom Huwa wanashindia kusema Pin Yako Siri Yako,1
@safaricom please check your inbox and fix my home fiba.your agents are not picking calls.,0,0,0,0,24,Customer care complaint,safaricom please check your inbox and fix my home fibayour agents are not picking calls,0
@DenisElly2 @Gesonso1 @safaricom I support,1,0,1,0,19,Neutral,DenisElly2 Gesonso1 safaricom I support,6
"WEB3 HACKTHON BY MPESA AND IMPACT PLUS

The @Safaricom's M-PESA x @ImpactPlus_Web3 Hackathon is a global EVM developer event with a $10,000 prize pool, taking place on September 6-9, 2024 at Diamond Plaza 1. Participants can create innovative blockchain integrations for mobile payment solutions. Registration, team formation, hacking, submission, and judging will occur over the 3-day event. Attendees will have access to workshops, bounty challenges, panels, mentorship, and networking opportunities.",9,1,1,0,362,Neutral,WEB3 HACKTHON BY MPESA AND IMPACT PLUS The Safaricoms MPESA x ImpactPlusWeb3 Hackathon is a global EVM developer event with a 100 prize pool taking place on September 69 2024 at Diamond Plaza 1 Participants can create innovative blockchain integrations for mobile payment solutions Registration team formation hacking submission and judging will occur over the 3day event Attendees will have access to workshops bounty challenges panels mentorship and networking opportunities,6
"@tek_kenya @Environment_Ke @NemaKenya @UNEP @netfund @PACJA1 @DrAlfredMutua @WWF @Greenpeace @kfs @kws @kwta @Fibanda1 @MachakosC @safaricom @JustusMMutua @spheelmodels @ForAffair Environmental clean up
@enviroment_ke ,@Nemakenya,@tek_kenya",2,0,0,0,0,Neutral,tekkenya EnvironmentKe NemaKenya UNEP netfund PACJA1 DrAlfredMutua WWF Greenpeace kfs kws kwta Fibanda1 MachakosC safaricom JustusMMutua spheelmodels ForAffair Environmental clean up enviromentke Nemakenyatekkenya,6
@Safaricom_Care Thank you @safaricom Care,0,0,0,0,0,Neutral,SafaricomCare Thank you safaricom Care,6
"This Saturday I present URBN - the BEST of CONTEMPORARY from Usher and Beyoncé to The Weeknd and Jhené Aiko

To join the party from 10pm (Nairobi) / 8pm (UK) tune in via https://t.co/2eaPYRhnkt &amp; thanks to @Safaricom there is no cover charge.

Kindly RT. See you on Sato nite 🎧🕺 https://t.co/HXrdp60PfM",3,1,0,0,0,Neutral,This Saturday I present URBN the BEST of CONTEMPORARY from Usher and Beyonc to The Weeknd and Jhen Aiko To join the party from 10pm Nairobi 8pm UK tune in via amp thanks to Safaricom there is no cover charge Kindly RT See you on Sato nite,6
@aniniwafula @safaricom Si we can report hii account ifungwe bana,7,1,0,0,378,Data protection and privacy concern,aniniwafula safaricom Si we can report hii account ifungwe bana,1
@SafaricomPLC @safaricom Safaricom isn't just mobile. They are Kenya's FIXED Internet LEADER with 36.5% market share (678K subs). Expanding horizons &amp; powering homes/businesses! 🏠💻,0,0,1,0,148,Neutral,SafaricomPLC safaricom Safaricom is not just mobile They are Kenyas FIXED Internet LEADER with 365 market share 678K subs Expanding horizons amp powering homesbusinesses,6
"The runner up gets; Trophy (perpetual) plus a cheque (40,000 KES per student, 15,000 KES for the teacher)
Smart Phones for the 2 students from  @BLAZE by @Safaricom PLC
#BLAZEforYSK #YSKexhibition #YSK2021",2,2,0,0,0,Neutral,The runner up gets Trophy perpetual plus a cheque 400 KES per student 1500 KES for the teacher Smart Phones for the 2 students from BLAZE by Safaricom PLC BLAZEforYSK YSKexhibition YSK2021,6
"@Mercynicky_ IT IS THE ARROGANCE OF THE CUSTOMER CARE ATTENDANT FOR ME..WUEH..JAMAA ANAKAA KUSEMA..'SUE US UKITAKA AND IF YOU HAVE THE MIGHT TO WIN AGAINST US.."" @safaricom",1,0,0,0,1159,Customer care complaint,Mercynicky IT IS THE ARROGANCE OF THE CUSTOMER CARE ATTENDANT FOR MEWUEHJAMAA ANAKAA KUSEMASUE US UKITAKA AND IF YOU HAVE THE MIGHT TO WIN AGAINST US safaricom,0
@ledamalekina @safaricom @ledamalekina  mind masaai cows....wachana na safaricom na sirikali.,0,0,0,0,0,Hate Speech,ledamalekina safaricom ledamalekina mind masaai cowswachana na safaricom na sirikali,2
@Safaricom..... appointing a Kenya to run it....!!!!..the fall of Safaricom  is here with us......🙊🙊🙊🙊,0,0,0,0,0,Neutral,Safaricom appointing a Kenya to run itthe fall of Safaricom is here with us,6
"@spectatorindex Looks like @Safaricom sent them those dolfins from kenya to do thing to the cables.
Reporting live from Kenya
#RutoMustGo",0,0,0,0,33,Neutral,spectatorindex Looks like Safaricom sent them those dolfins from kenya to do thing to the cables Reporting live from Kenya RutoMustGo,6
@oneBilli0n @certifiedlonerr @safaricom 😅😂😂💔,0,0,0,0,0,Neutral,oneBilli0n certifiedlonerr safaricom,6
"Siku hizi services za @Safaricom @Safaricom_Care zimekua  Ovyo.
No real contact/touch with their customers!
Unatuma request, they just respond with no attention to details, pasting links in the name of responses or worst case they redirect you to their dumb Zuri.
Disappointing!",0,0,0,0,80,Customer care complaint,Siku hizi services za Safaricom SafaricomCare zimekua Ovyo No real contacttouch with their customers Unatuma request they just respond with no attention to details pasting links in the name of responses or worst case they redirect you to their dumb Zuri Disappointing,0
@safaricom hello. Is your app working?,0,0,0,0,0,Neutral,safaricom hello Is your app working,6
"Pick your favourite ung'are na twende Pirates Beach Mombasa tusababishe @radiomaisha @safaricom @telkom @ItsMJ_Arthur
#PalscityBeachCleanUp https://t.co/1RdK4FqHvy",9,7,0,2,0,Neutral,Pick your favourite ungare na twende Pirates Beach Mombasa tusababishe radiomaisha safaricom telkom ItsMJArthur PalscityBeachCleanUp,6
"@ledamalekina @safaricom Good question. But, I highly doubt a substantive reply shall be forthcoming.",1,0,0,0,0,Neutral,ledamalekina safaricom Good question But I highly doubt a substantive reply shall be forthcoming,6
@ledamalekina @safaricom Umeanza tena kujifanya u r pro people hapa kwa Twitter? Tunakujua.,1,0,0,0,0,Hate Speech,ledamalekina safaricom Umeanza tena kujifanya u r pro people hapa kwa Twitter Tunakujua,2
@SafaricomPLC These days I trust nobody even the @safaricom itself,0,0,0,0,0,Data protection and privacy concern,SafaricomPLC These days I trust nobody even the safaricom itself,1
@Wamathangu @SafaricomPLC Can see this guy is mindful of our communication infrastructure. @Safaricom plc  please act swiftly tusihate fuliza mtaani,0,0,1,0,0,Neutral,Wamathangu SafaricomPLC Can see this guy is mindful of our communication infrastructure Safaricom plc please act swiftly tusihate fuliza mtaani,6
"@KinyanBoy @Safaricom @safaricom_care I raised a complaint yesterday and dragging their feet-poor customer service.

Poor service - frequent outage ref to acc 11139871",2,0,1,0,0,Customer care complaint,KinyanBoy Safaricom safaricomcare I raised a complaint yesterday and dragging their feetpoor customer service Poor service frequent outage ref to acc 1139871,0
@vivimagero @safaricom join telkom then,1,1,0,0,0,Neutral,vivimagero safaricom join telkom then,6
"@wangecike_ @Safaricom_Care Mpendwa fukara angalia maneno yako sana
@safaricom simple transparent honest for you. Inama fiti",1,0,0,0,0,Neutral,wangecike SafaricomCare Mpendwa fukara angalia maneno yako sana safaricom simple transparent honest for you Inama fiti,6
"@Safaricom_Care I think introduction of mpesa was your greatest innovation in the 20yrs you have ruled this space, na card ya 250 ilinivutia @safaricom from the rest",0,0,0,0,0,Neutral,SafaricomCare I think introduction of mpesa was your greatest innovation in the 20yrs you have ruled this space na card ya 250 ilinivutia safaricom from the rest,6
"@Safaricom_Care @Victoromollo14 @safaricom, kindly check Dm",0,0,0,0,0,Neutral,SafaricomCare Victoromollo14 safaricom kindly check Dm,6
"@ledamalekina @safaricom With all your respect Sir, Questions like this needs to be raised in the Senate or parliament, remember not all kenyans use twitter.",1,0,0,0,0,Neutral,ledamalekina safaricom With all your respect Sir Questions like this needs to be raised in the Senate or parliament remember not all kenyans use twitter,6
Kwani @safaricom hizo direct reversals takes long sana? ⌚⌚,0,0,0,0,0,Customer care complaint,Kwani safaricom hizo direct reversals takes long sana,0
@vivimagero @safaricom Nothing at all,0,0,0,0,0,Neutral,vivimagero safaricom Nothing at all,6
@SafaricomPLC Is this working even when one tries to register with other mobile services other than @safaricom?,1,0,1,0,0,Neutral,SafaricomPLC Is this working even when one tries to register with other mobile services other than safaricom,6
"Guy's, this stuff of Airtel simcard update is hectic. Very slow.... @AIRTEL_KE you need a refresher course at @safaricom",0,0,1,0,0,Network reliability problem,Guys this stuff of Airtel simcard update is hectic Very slow AIRTELKE you need a refresher course at safaricom,5
@ledamalekina @safaricom Why do u sound anominated MCA?.,0,0,0,0,0,Neutral,ledamalekina safaricom Why do u sound anominated MCA,6
@KinyanBoy @safaricom is a major problem we are having in this country,0,0,0,0,11,Neutral,KinyanBoy safaricom is a major problem we are having in this country,6
@Sitoyo @lindahoguttu @safaricom @EduMinKenya Hio ni tender ya looting???heheeeeeee by December you will see a headline ten billion stolen from pads kit...,0,0,0,0,0,Hate Speech,Sitoyo lindahoguttu safaricom EduMinKenya Hio ni tender ya lootinghehee by December you will see a headline ten billion stolen from pads kit,2
@hoelicemann @safaricom Wanyanyonya Na straw gani? Nitumie Na milkshakes,1,0,0,0,0,Neutral,hoelicemann safaricom Wanyanyonya Na straw gani Nitumie Na milkshakes,6
@TelkomKenya @safaricom How can I purchase the data at 8 and I have a video recording showing it was at 9:25🙄 https://t.co/6JG2qdEQ35,0,0,1,0,0,Internet or airtime bundle complaint,TelkomKenya safaricom How can I purchase the data at 8 and I have a video recording showing it was at 925,3
"@NationAfrica How much of  this info is used in actual crime solving? Looks like their main aim is to settle political scores which is illegal in the first place, freedom of speech.@Safaricom your view on this ?",13,3,0,0,1708,Data protection and privacy concern,NationAfrica How much of this info is used in actual crime solving Looks like their main aim is to settle political scores which is illegal in the first place freedom of speechSafaricom your view on this,1
"@safaricom 
Dear Customer! Happy Belated Birthday! We apologize for delaying your gift, We  celebrate you with 1GB FREE  valid for 24hrs... thanks for the apology, just send me the balance so I can use it tomorrow!! Shame on you for sending it @7:39 this evening!",0,0,0,0,0,Customer care complaint,safaricom Dear Customer Happy Belated Birthday We apologize for delaying your gift We celebrate you with 1GB FREE valid for 24hrs thanks for the apology just send me the balance so I can use it tomorrow Shame on you for sending it 739 this evening,0
"Finally @mpesa is back

@safaricom",1,0,0,0,0,Neutral,Finally mpesa is back safaricom,6
@Chris_is_nyakoi @SafaricomPLC @safaricom 😂😂😂,0,0,0,0,0,Neutral,Chrisisnyakoi SafaricomPLC safaricom,6
@Roberttiutan @SafaricomPLC @michaelj2 @safaricom 😂😂we umeona nikijiseti wapi,0,0,1,0,0,Neutral,Roberttiutan SafaricomPLC michaelj2 safaricom we umeona nikijiseti wapi,6
@aniniwafula @safaricom Pokea salamu kama mchanga wa bahari ...wadau msalimie hadi atosheke,1,0,0,0,97,Neutral,aniniwafula safaricom Pokea salamu kama mchanga wa bahari wadau msalimie hadi atosheke,6
@SafaricomPLC @Rhino_Charge @RhinoArk @safaricom ndo huyu scammer mwenzenu https://t.co/6BkGm8tGQZ,0,0,0,0,13,Hate Speech,SafaricomPLC RhinoCharge RhinoArk safaricom ndo huyu scammer mwenzenu,2
@Safaricom the Geosafari app stopped working for us in diaspora ! We can make calls only on airtel  lines and not Safaricom,0,0,0,0,0,Network reliability problem,Safaricom the Geosafari app stopped working for us in diaspora We can make calls only on airtel lines and not Safaricom,5
@moneyacademyKE Where is @safaricom sacco,0,0,2,0,6711,Neutral,moneyacademyKE Where is safaricom sacco,6
@erastus_mwanzia @xtiandela @elonmusk @Starlink @safaricom The same @SafaricomPLC  that cuts the internet when we needed them the most?,1,0,0,0,80,Network reliability problem,erastusmwanzia xtiandela elonmusk Starlink safaricom The same SafaricomPLC that cuts the internet when we needed them the most,5
@karigoh @safaricom @Safaricom_Care to add to the poor internet connectivity on safaricom home fibre; now the amazon fire stick cannot connect through the same. I called and they mentioned they are aware of the issue and are making a list of the accounts with issues. Sollution ??,0,0,1,0,0,Internet or airtime bundle complaint,karigoh safaricom SafaricomCare to add to the poor internet connectivity on safaricom home fibre now the amazon fire stick cannot connect through the same I called and they mentioned they are aware of the issue and are making a list of the accounts with issues Sollution,3
"This Saturday 10pm (Nairobi) on ZOOM I present REQUEST LINE - You ask, I play it. 

Thanks to @safaricom there is no cover charge for the experience.

Join via https://t.co/IxqtIWRcCG with your 2 fave songs &amp; you stand a chance to win Ksh 1,000 airtime if I play your song.

RT🙌🏿 https://t.co/QuMW76o9tP",12,5,0,0,0,Neutral,This Saturday 10pm Nairobi on ZOOM I present REQUEST LINE You ask I play it Thanks to safaricom there is no cover charge for the experience Join via with your 2 fave songs amp you stand a chance to win Ksh 100 airtime if I play your song RT,6
@Safaricom. Please improve connectivity in Mashuru area.,0,0,0,0,12,Network reliability problem,Safaricom Please improve connectivity in Mashuru area,5
@SAFARICOM WHY AM I HAVING TROUBLE WITH MPESA GLOBAL,0,0,0,0,0,MPESA complaint,SAFARICOM WHY AM I HAVING TROUBLE WITH MPESA GLOBAL,4
@safaricom fuck you,0,0,0,0,10,Hate Speech,safaricom fuck you,2
#Safaricom is crying out for state protection when it has stubbornly refused to protect or respect the small consumers that give it profits. @Safaricom is foreigner-owned - it was a public company irregularly and fraudulently sold to foreigners. Starlink is foreign. Wachapane,0,0,0,0,14,Hate Speech,Safaricom is crying out for state protection when it has stubbornly refused to protect or respect the small consumers that give it profits Safaricom is foreignerowned it was a public company irregularly and fraudulently sold to foreigners Starlink is foreign Wachapane,2
"@SafaricomPLC But you still my credit on daily basis,,,lol I hate @safaricom",0,0,1,0,184,Customer care complaint,SafaricomPLC But you still my credit on daily basislol I hate safaricom,0
@22Safaricomcare @safaricom You are purporting to be safaricom. SHAME ON YOU..,0,0,0,0,0,Hate Speech,22Safaricomcare safaricom You are purporting to be safaricom SHAME ON YOU,2
Anyone else experiencing shoddy @safaricom network?,0,0,0,0,159,Network reliability problem,Anyone else experiencing shoddy safaricom network,5
@wimMTNUG Great but the expiration of minutes and data should be stopped just like @safaricom,0,0,0,0,0,Internet or airtime bundle complaint,wimMTNUG Great but the expiration of minutes and data should be stopped just like safaricom,3
"Soweto Gospel Choir has won the Best World Music Album award for their new recording “Freedom” at the 2019 Grammy Awards.
Watch it live at Citam Karen this Friday get your tickets on https://t.co/8wi9XLID7Z 
@Safaricom @TwoRivers @flysaa @Sowetogospelchoir
#SowetoGospelChoir https://t.co/25les64n1o",1,3,0,0,0,Neutral,Soweto Gospel Choir has won the Best World Music Album award for their new recording Freedom at the 2019 Grammy Awards Watch it live at Citam Karen this Friday get your tickets on Safaricom TwoRivers flysaa Sowetogospelchoir SowetoGospelChoir,6
"Atm, @safaricom is the shittiest network. It's as worrying as walking in the streets of Eastleigh",1,0,0,0,124,Network reliability problem,Atm safaricom is the shittiest network it is as worrying as walking in the streets of Eastleigh,5
"@Muhorogladys1 @safaricom Nice.
#500MBFree 
#BrowseBilaWaas",0,0,0,0,0,Neutral,Muhorogladys1 safaricom Nice 500MBFree BrowseBilaWaas,6
@safaricom and @kenyapower your days are numbered!!,1,0,0,0,22,Hate Speech,safaricom and kenyapower your days are numbered,2
"@smutoro @safaricom @Safaricom_Care Well, you can have a safaricom line but not registered with Mpesa or non-safaricom number.",0,0,0,0,99,MPESA complaint,smutoro safaricom SafaricomCare Well you can have a safaricom line but not registered with Mpesa or nonsafaricom number,4
"How to do you carry out  #inclusive #design in #humanitarian contexts? 

Great presentation from @ZoeMHamilton at #CDAC2020 in coop with @butterflyworks @Safaricom @UNHCRInnovation @GSMAm4d and @jencasswell 

We will be sharing recordings of all sessions tomorrow: stay tuned! https://t.co/Outyqhe34t",8,3,0,1,0,Neutral,How to do you carry out inclusive design in humanitarian contexts Great presentation from ZoeMHamilton at CDAC2020 in coop with butterflyworks Safaricom UNHCRInnovation GSMAm4d and jencasswell We will be sharing recordings of all sessions tomorrow stay tuned,6
Hey @safaricom below are the numbers flashing my number instanteneously yet I don't know who  they are. Tell me of my safety please. https://t.co/GaU20niOjO,0,0,1,0,35,Data protection and privacy concern,Hey safaricom below are the numbers flashing my number instanteneously yet I do not know who they are Tell me of my safety please,1
"@neverforgetferb @safaricom @Safaricom_Care Kwanza customers wanataroka.....we are loosing customers day by day because the messages zinasema recommended but customers wanasema hatujapata kitu,",2,0,0,0,74,Customer care complaint,neverforgetferb safaricom SafaricomCare Kwanza customers wanatarokawe are loosing customers day by day because the messages zinasema recommended but customers wanasema hatujapata kitu,0
"@Safaricom and the National Hospital Insurance Fund (NHIF) launched the NHIF mini-app within the M-PESA Super App.#SokoNews 
https://t.co/9EO5YXLz42",0,0,0,0,0,Neutral,Safaricom and the National Hospital Insurance Fund NHIF launched the NHIF miniapp within the MPESA Super AppSokoNews,6
