Content,Likes,Retweets,Replies,Quotes,Views,Date,Labels,chars,words,sentences,Tokenized Text,Lematized Text
nahashonkimemia safaricom uhuru recognised raila was leading over 50 of kenyans when brookside sales dropped,0,0,1,0,18,"October 30, 2024 at 02:37 PM",Neutral,112,19,1,"['nahashonkimemia', 'safaricom', 'uhuru', 'recognised', 'raila', 'was', 'leading', 'over', '50', 'of', 'kenyans', 'when', 'brookside', 'sales', 'dropped']","['nahashonkimemia', 'safaricom', 'uhuru', 'recognised', 'raila', 'wa', 'leading', 'over', '50', 'of', 'kenyan', 'when', 'brookside', 'sale', 'dropped']"
lancekamaa safaricom and how far did raila get with that boycott,1,0,1,0,13,"October 30, 2024 at 02:35 PM",Neutral,67,14,1,"['lancekamaa', 'safaricom', 'and', 'how', 'far', 'did', 'raila', 'get', 'with', 'that', 'boycott']","['lancekamaa', 'safaricom', 'and', 'how', 'far', 'did', 'raila', 'get', 'with', 'that', 'boycott']"
nahashonkimemia kalonzo is a general kiguoya surrounded by other general why didnt they call for boycott against safaricom raila did it,0,0,1,0,17,"October 30, 2024 at 02:33 PM",Hate Speech,142,27,4,"['nahashonkimemia', 'kalonzo', 'is', 'a', 'general', 'kiguoya', 'surrounded', 'by', 'other', 'general', 'why', 'didnt', 'they', 'call', 'for', 'boycott', 'against', 'safaricom', 'raila', 'did', 'it']","['nahashonkimemia', 'kalonzo', 'is', 'a', 'general', 'kiguoya', 'surrounded', 'by', 'other', 'general', 'why', 'didnt', 'they', 'call', 'for', 'boycott', 'against', 'safaricom', 'raila', 'did', 'it']"
occupy milimani law courts safaricom must go and reject sha and new education funding model,2,1,0,0,36,"October 30, 2024 at 01:53 PM",Customer care complaint,93,17,1,"['occupy', 'milimani', 'law', 'courts', 'safaricom', 'must', 'go', 'and', 'reject', 'sha', 'and', 'new', 'education', 'funding', 'model']","['occupy', 'milimani', 'law', 'court', 'safaricom', 'must', 'go', 'and', 'reject', 'sha', 'and', 'new', 'education', 'funding', 'model']"
it is annoying safaricom sending me okoa jahazi every time i do mpesa transaction yet i have an active bundle,0,0,0,0,41,"October 30, 2024 at 12:39 PM",MPESA complaint,111,22,1,"['it', 'is', 'annoying', 'safaricom', 'sending', 'me', 'okoa', 'jahazi', 'every', 'time', 'i', 'do', 'mpesa', 'transaction', 'yet', 'i', 'have', 'an', 'active', 'bundle']","['it', 'is', 'annoying', 'safaricom', 'sending', 'me', 'okoa', 'jahazi', 'every', 'time', 'i', 'do', 'mpesa', 'transaction', 'yet', 'i', 'have', 'an', 'active', 'bundle']"
realomtatah can someone go to court to compel safaricomplc safaricom to produce her last location amp all the data on her trangulated locations ffro the last 5 days inspector of police kanja should be compeled via court orders to produce her or be jailed kama masengeliiiiii,7,0,2,0,985,"October 30, 2024 at 11:38 AM",Data protection and privacy concern,282,53,2,"['realomtatah', 'can', 'someone', 'go', 'to', 'court', 'to', 'compel', 'safaricomplc', 'safaricom', 'to', 'produce', 'her', 'last', 'location', 'amp', 'all', 'the', 'data', 'on', 'her', 'trangulated', 'locations', 'ffro', 'the', 'last', '5', 'days', 'inspector', 'of', 'police', 'kanja', 'should', 'be', 'compeled', 'via', 'court', 'orders', 'to', 'produce', 'her', 'or', 'be', 'jailed', 'kama', 'masengeliiiiii']","['realomtatah', 'can', 'someone', 'go', 'to', 'court', 'to', 'compel', 'safaricomplc', 'safaricom', 'to', 'produce', 'her', 'last', 'location', 'amp', 'all', 'the', 'data', 'on', 'her', 'trangulated', 'location', 'ffro', 'the', 'last', '5', 'day', 'inspector', 'of', 'police', 'kanja', 'should', 'be', 'compeled', 'via', 'court', 'order', 'to', 'produce', 'her', 'or', 'be', 'jailed', 'kama', 'masengeliiiiii']"
safaricom you are the worst company kenyan citizens have at this point boycottsafaricom,0,0,0,0,32,"October 30, 2024 at 09:47 AM",Customer care complaint,90,16,2,"['safaricom', 'you', 'are', 'the', 'worst', 'company', 'kenyan', 'citizens', 'have', 'at', 'this', 'point', 'boycottsafaricom']","['safaricom', 'you', 'are', 'the', 'worst', 'company', 'kenyan', 'citizen', 'have', 'at', 'this', 'point', 'boycottsafaricom']"
safaricom,0,0,0,0,27,"October 30, 2024 at 09:36 AM",Neutral,10,2,1,['safaricom'],['safaricom']
be a ware of mpox kampala capital city authoritys public health directorate has reported a sharp rise in mpox cases across its five divisions with kawempe having the highest numbernyegenyehe2024 marykoome safaricom ucda,2,0,0,0,83,"October 30, 2024 at 09:02 AM",Neutral,252,45,2,"['be', 'a', 'ware', 'of', 'mpox', 'kampala', 'capital', 'city', 'authoritys', 'public', 'health', 'directorate', 'has', 'reported', 'a', 'sharp', 'rise', 'in', 'mpox', 'cases', 'across', 'its', 'five', 'divisions', 'with', 'kawempe', 'having', 'the', 'highest', 'numbernyegenyehe2024', 'marykoome', 'safaricom', 'ucda']","['be', 'a', 'ware', 'of', 'mpox', 'kampala', 'capital', 'city', 'authority', 'public', 'health', 'directorate', 'ha', 'reported', 'a', 'sharp', 'rise', 'in', 'mpox', 'case', 'across', 'it', 'five', 'division', 'with', 'kawempe', 'having', 'the', 'highest', 'numbernyegenyehe2024', 'marykoome', 'safaricom', 'ucda']"
bozgabi safaricom is the big enemy,0,0,0,0,7,"October 30, 2024 at 06:19 AM",Customer care complaint,36,8,1,"['bozgabi', 'safaricom', 'is', 'the', 'big', 'enemy']","['bozgabi', 'safaricom', 'is', 'the', 'big', 'enemy']"
techbro1968 purplejanette safaricomplc stanbicke safaricom nimeonaeww,2,0,0,0,69,"October 30, 2024 at 06:00 AM",Neutral,78,14,1,"['techbro1968', 'purplejanette', 'safaricomplc', 'stanbicke', 'safaricom', 'nimeonaeww']","['techbro1968', 'purplejanette', 'safaricomplc', 'stanbicke', 'safaricom', 'nimeonaeww']"
itsmurugi purplejanette safaricomplc stanbicke safaricom you should check out her replieshonestly pathetic,2,0,1,0,62,"October 30, 2024 at 05:44 AM",Neutral,118,19,1,"['itsmurugi', 'purplejanette', 'safaricomplc', 'stanbicke', 'safaricom', 'you', 'should', 'check', 'out', 'her', 'replieshonestly', 'pathetic']","['itsmurugi', 'purplejanette', 'safaricomplc', 'stanbicke', 'safaricom', 'you', 'should', 'check', 'out', 'her', 'replieshonestly', 'pathetic']"
techbro1968 purplejanette safaricomplc stanbicke safaricom i blocked her so fast i dont know who she is and why shes talking to me lmao,6,1,1,0,105,"October 30, 2024 at 05:22 AM",Neutral,144,31,2,"['techbro1968', 'purplejanette', 'safaricomplc', 'stanbicke', 'safaricom', 'i', 'blocked', 'her', 'so', 'fast', 'i', 'dont', 'know', 'who', 'she', 'is', 'and', 'why', 'shes', 'talking', 'to', 'me', 'lmao']","['techbro1968', 'purplejanette', 'safaricomplc', 'stanbicke', 'safaricom', 'i', 'blocked', 'her', 'so', 'fast', 'i', 'dont', 'know', 'who', 'she', 'is', 'and', 'why', 'shes', 'talking', 'to', 'me', 'lmao']"
purplejanette itsmurugi safaricomplc stanbicke safaricom you woke up and the first thing you do is spew garbage,3,0,1,0,88,"October 30, 2024 at 04:50 AM",Hate Speech,118,22,1,"['purplejanette', 'itsmurugi', 'safaricomplc', 'stanbicke', 'safaricom', 'you', 'woke', 'up', 'and', 'the', 'first', 'thing', 'you', 'do', 'is', 'spew', 'garbage']","['purplejanette', 'itsmurugi', 'safaricomplc', 'stanbicke', 'safaricom', 'you', 'woke', 'up', 'and', 'the', 'first', 'thing', 'you', 'do', 'is', 'spew', 'garbage']"
itsmurugi safaricomplc stanbicke just do it silently nobody cares about your lazy life safaricom forever,1,0,1,0,753,"October 30, 2024 at 04:41 AM",Neutral,111,21,3,"['itsmurugi', 'safaricomplc', 'stanbicke', 'just', 'do', 'it', 'silently', 'nobody', 'cares', 'about', 'your', 'lazy', 'life', 'safaricom', 'forever']","['itsmurugi', 'safaricomplc', 'stanbicke', 'just', 'do', 'it', 'silently', 'nobody', 'care', 'about', 'your', 'lazy', 'life', 'safaricom', 'forever']"
bernardkavuli safaricomplc dcikenya fgaitho237 mkenyamzi dictatorwatch safaricom we enrich you thugs then you sell us we gave safaricom power we must take it back rejectsafaricom,0,0,0,0,7,"October 30, 2024 at 04:06 AM",Data protection and privacy concern,190,36,1,"['bernardkavuli', 'safaricomplc', 'dcikenya', 'fgaitho237', 'mkenyamzi', 'dictatorwatch', 'safaricom', 'we', 'enrich', 'you', 'thugs', 'then', 'you', 'sell', 'us', 'we', 'gave', 'safaricom', 'power', 'we', 'must', 'take', 'it', 'back', 'rejectsafaricom']","['bernardkavuli', 'safaricomplc', 'dcikenya', 'fgaitho237', 'mkenyamzi', 'dictatorwatch', 'safaricom', 'we', 'enrich', 'you', 'thug', 'then', 'you', 'sell', 'u', 'we', 'gave', 'safaricom', 'power', 'we', 'must', 'take', 'it', 'back', 'rejectsafaricom']"
gabrieloguda safaricom safaricom doesnt care about kenyans who are the customers because we gave them the power if monopoly iys the right time we take away that power,0,0,0,0,44,"October 30, 2024 at 03:45 AM",Customer care complaint,171,32,1,"['gabrieloguda', 'safaricom', 'safaricom', 'doesnt', 'care', 'about', 'kenyans', 'who', 'are', 'the', 'customers', 'because', 'we', 'gave', 'them', 'the', 'power', 'if', 'monopoly', 'iys', 'the', 'right', 'time', 'we', 'take', 'away', 'that', 'power']","['gabrieloguda', 'safaricom', 'safaricom', 'doesnt', 'care', 'about', 'kenyan', 'who', 'are', 'the', 'customer', 'because', 'we', 'gave', 'them', 'the', 'power', 'if', 'monopoly', 'iys', 'the', 'right', 'time', 'we', 'take', 'away', 'that', 'power']"
james041 safaricom is the enemy,0,0,0,0,2,"October 30, 2024 at 01:35 AM",Customer care complaint,34,7,1,"['james041', 'safaricom', 'is', 'the', 'enemy']","['james041', 'safaricom', 'is', 'the', 'enemy']"
williamsruto musaliamudavadi dcikenya safaricom whereisshe,0,0,0,0,15,"October 29, 2024 at 05:10 PM",Neutral,88,13,1,"['williamsruto', 'musaliamudavadi', 'dcikenya', 'safaricom', 'whereisshe']","['williamsruto', 'musaliamudavadi', 'dcikenya', 'safaricom', 'whereisshe']"
whats not happening with safaricom look at that okoa statement of next month on date 3 and yet we are still in october,0,0,0,0,29,"October 29, 2024 at 02:27 PM",Customer care complaint,145,29,2,"['whats', 'not', 'happening', 'with', 'safaricom', 'look', 'at', 'that', 'okoa', 'statement', 'of', 'next', 'month', 'on', 'date', '3', 'and', 'yet', 'we', 'are', 'still', 'in', 'october']","['whats', 'not', 'happening', 'with', 'safaricom', 'look', 'at', 'that', 'okoa', 'statement', 'of', 'next', 'month', 'on', 'date', '3', 'and', 'yet', 'we', 'are', 'still', 'in', 'october']"
fgaitho237 safaricomplc vodafoneuk neuraltech safaricom judas of today,0,0,0,0,17,"October 29, 2024 at 12:15 PM",Hate Speech,75,13,1,"['fgaitho237', 'safaricomplc', 'vodafoneuk', 'neuraltech', 'safaricom', 'judas', 'of', 'today']","['fgaitho237', 'safaricomplc', 'vodafoneuk', 'neuraltech', 'safaricom', 'juda', 'of', 'today']"
nyanchwani i really feel that nationafrica is on a charm offensive here they have that story on the headline and go ahead to only look at safaricom while not mentioning airtel or finserve not once really lazy investigation could it be that they do not get adverts from the telco,2,0,0,0,119,"October 29, 2024 at 11:14 AM",Neutral,286,58,5,"['nyanchwani', 'i', 'really', 'feel', 'that', 'nationafrica', 'is', 'on', 'a', 'charm', 'offensive', 'here', 'they', 'have', 'that', 'story', 'on', 'the', 'headline', 'and', 'go', 'ahead', 'to', 'only', 'look', 'at', 'safaricom', 'while', 'not', 'mentioning', 'airtel', 'or', 'finserve', 'not', 'once', 'really', 'lazy', 'investigation', 'could', 'it', 'be', 'that', 'they', 'do', 'not', 'get', 'adverts', 'from', 'the', 'telco']","['nyanchwani', 'i', 'really', 'feel', 'that', 'nationafrica', 'is', 'on', 'a', 'charm', 'offensive', 'here', 'they', 'have', 'that', 'story', 'on', 'the', 'headline', 'and', 'go', 'ahead', 'to', 'only', 'look', 'at', 'safaricom', 'while', 'not', 'mentioning', 'airtel', 'or', 'finserve', 'not', 'once', 'really', 'lazy', 'investigation', 'could', 'it', 'be', 'that', 'they', 'do', 'not', 'get', 'advert', 'from', 'the', 'telco']"
nationafrica safaricom good bye,0,0,0,0,37,"October 29, 2024 at 08:38 AM",Neutral,33,6,1,"['nationafrica', 'safaricom', 'good', 'bye']","['nationafrica', 'safaricom', 'good', 'bye']"
cnyakundih airtel will never succeed coz safaricom and government are criminals,0,0,0,0,54,"October 29, 2024 at 08:17 AM",Hate Speech,85,13,1,"['cnyakundih', 'airtel', 'will', 'never', 'succeed', 'coz', 'safaricom', 'and', 'government', 'are', 'criminals']","['cnyakundih', 'airtel', 'will', 'never', 'succeed', 'coz', 'safaricom', 'and', 'government', 'are', 'criminal']"
dcikenya but safaricom has the information,0,0,0,0,8,"October 29, 2024 at 08:16 AM",Data protection and privacy concern,48,11,2,"['dcikenya', 'but', 'safaricom', 'has', 'the', 'information']","['dcikenya', 'but', 'safaricom', 'ha', 'the', 'information']"
edgarwabwire safaricomplc safaricom wanawork very close with the government they are criminals,0,0,0,0,43,"October 29, 2024 at 08:15 AM",Data protection and privacy concern,102,16,1,"['edgarwabwire', 'safaricomplc', 'safaricom', 'wanawork', 'very', 'close', 'with', 'the', 'government', 'they', 'are', 'criminals']","['edgarwabwire', 'safaricomplc', 'safaricom', 'wanawork', 'very', 'close', 'with', 'the', 'government', 'they', 'are', 'criminal']"
safaricomplc unauthorized release of data is a blatant breach of trust and violation of article 31 and the data protection act 2019 our privacy isnt a corporate plaything its a fundamental right that must be respected safaricom must be held accountable boycottsafaricom,2,0,0,0,34,"October 29, 2024 at 07:57 AM",Data protection and privacy concern,302,55,4,"['safaricomplc', 'unauthorized', 'release', 'of', 'data', 'is', 'a', 'blatant', 'breach', 'of', 'trust', 'and', 'violation', 'of', 'article', '31', 'and', 'the', 'data', 'protection', 'act', '2019', 'our', 'privacy', 'isnt', 'a', 'corporate', 'plaything', 'its', 'a', 'fundamental', 'right', 'that', 'must', 'be', 'respected', 'safaricom', 'must', 'be', 'held', 'accountable', 'boycottsafaricom']","['safaricomplc', 'unauthorized', 'release', 'of', 'data', 'is', 'a', 'blatant', 'breach', 'of', 'trust', 'and', 'violation', 'of', 'article', '31', 'and', 'the', 'data', 'protection', 'act', '2019', 'our', 'privacy', 'isnt', 'a', 'corporate', 'plaything', 'it', 'a', 'fundamental', 'right', 'that', 'must', 'be', 'respected', 'safaricom', 'must', 'be', 'held', 'accountable', 'boycottsafaricom']"
janefkyalo we wont forget what safaricom did to our own fellows on 25th june upto now there is still many genzs missing,3,0,0,0,160,"October 29, 2024 at 06:55 AM",Data protection and privacy concern,125,26,1,"['janefkyalo', 'we', 'wont', 'forget', 'what', 'safaricom', 'did', 'to', 'our', 'own', 'fellows', 'on', '25th', 'june', 'upto', 'now', 'there', 'is', 'still', 'many', 'genzs', 'missing']","['janefkyalo', 'we', 'wont', 'forget', 'what', 'safaricom', 'did', 'to', 'our', 'own', 'fellow', 'on', '25th', 'june', 'upto', 'now', 'there', 'is', 'still', 'many', 'genzs', 'missing']"
fgaitho237 safaricomplc on a serious note kenyans should stop using safaricom i know they will its just a matter of time,1,0,0,0,112,"October 29, 2024 at 05:09 AM",Data protection and privacy concern,128,29,2,"['fgaitho237', 'safaricomplc', 'on', 'a', 'serious', 'note', 'kenyans', 'should', 'stop', 'using', 'safaricom', 'i', 'know', 'they', 'will', 'its', 'just', 'a', 'matter', 'of', 'time']","['fgaitho237', 'safaricomplc', 'on', 'a', 'serious', 'note', 'kenyan', 'should', 'stop', 'using', 'safaricom', 'i', 'know', 'they', 'will', 'it', 'just', 'a', 'matter', 'of', 'time']"
nationafrica safaricom you are shamefull and infact am cutting my ties with safaricom and the rest of kenyans should they are taxing mpesa services soo no need of safaricom again useless shameless company,0,0,0,0,12,"October 29, 2024 at 04:43 AM",Customer care complaint,212,39,1,"['nationafrica', 'safaricom', 'you', 'are', 'shamefull', 'and', 'infact', 'am', 'cutting', 'my', 'ties', 'with', 'safaricom', 'and', 'the', 'rest', 'of', 'kenyans', 'should', 'they', 'are', 'taxing', 'mpesa', 'services', 'soo', 'no', 'need', 'of', 'safaricom', 'again', 'useless', 'shameless', 'company']","['nationafrica', 'safaricom', 'you', 'are', 'shamefull', 'and', 'infact', 'am', 'cutting', 'my', 'tie', 'with', 'safaricom', 'and', 'the', 'rest', 'of', 'kenyan', 'should', 'they', 'are', 'taxing', 'mpesa', 'service', 'soo', 'no', 'need', 'of', 'safaricom', 'again', 'useless', 'shameless', 'company']"
nationafrica airtel is more secured they only need to improve on service delivery safaricom no longer secure look at the rate at which kenyans are being abducted because of using safaricom line,0,0,0,0,17,"October 29, 2024 at 04:04 AM",Data protection and privacy concern,196,35,1,"['nationafrica', 'airtel', 'is', 'more', 'secured', 'they', 'only', 'need', 'to', 'improve', 'on', 'service', 'delivery', 'safaricom', 'no', 'longer', 'secure', 'look', 'at', 'the', 'rate', 'at', 'which', 'kenyans', 'are', 'being', 'abducted', 'because', 'of', 'using', 'safaricom', 'line']","['nationafrica', 'airtel', 'is', 'more', 'secured', 'they', 'only', 'need', 'to', 'improve', 'on', 'service', 'delivery', 'safaricom', 'no', 'longer', 'secure', 'look', 'at', 'the', 'rate', 'at', 'which', 'kenyan', 'are', 'being', 'abducted', 'because', 'of', 'using', 'safaricom', 'line']"
honmainanjenga boycottsafaricom freeaoko rutomustgo safaricom,0,0,0,0,119,"October 29, 2024 at 02:14 AM",Hate Speech,69,10,1,"['honmainanjenga', 'boycottsafaricom', 'freeaoko', 'rutomustgo', 'safaricom']","['honmainanjenga', 'boycottsafaricom', 'freeaoko', 'rutomustgo', 'safaricom']"
fcuk you safaricom,0,0,0,0,167,"October 28, 2024 at 07:28 PM",Hate Speech,19,4,1,"['fcuk', 'you', 'safaricom']","['fcuk', 'you', 'safaricom']"
nationafrica how much of this info is used in actual crime solving looks like their main aim is to settle political scores which is illegal in the first place freedom of speechsafaricom your view on this,13,3,0,0,1708,"October 28, 2024 at 06:50 PM",Data protection and privacy concern,211,43,3,"['nationafrica', 'how', 'much', 'of', 'this', 'info', 'is', 'used', 'in', 'actual', 'crime', 'solving', 'looks', 'like', 'their', 'main', 'aim', 'is', 'to', 'settle', 'political', 'scores', 'which', 'is', 'illegal', 'in', 'the', 'first', 'place', 'freedom', 'of', 'speechsafaricom', 'your', 'view', 'on', 'this']","['nationafrica', 'how', 'much', 'of', 'this', 'info', 'is', 'used', 'in', 'actual', 'crime', 'solving', 'look', 'like', 'their', 'main', 'aim', 'is', 'to', 'settle', 'political', 'score', 'which', 'is', 'illegal', 'in', 'the', 'first', 'place', 'freedom', 'of', 'speechsafaricom', 'your', 'view', 'on', 'this']"
safaricom i thought data protection begins with you you still have the audacity to share personal contacts with strange companies or people perpotedly as attached to follow up on my internet issues this is totally unacceptable under the law i seek for an explanation,0,0,0,0,21,"October 28, 2024 at 02:55 PM",Data protection and privacy concern,299,53,5,"['safaricom', 'i', 'thought', 'data', 'protection', 'begins', 'with', 'you', 'you', 'still', 'have', 'the', 'audacity', 'to', 'share', 'personal', 'contacts', 'with', 'strange', 'companies', 'or', 'people', 'perpotedly', 'as', 'attached', 'to', 'follow', 'up', 'on', 'my', 'internet', 'issues', 'this', 'is', 'totally', 'unacceptable', 'under', 'the', 'law', 'i', 'seek', 'for', 'an', 'explanation']","['safaricom', 'i', 'thought', 'data', 'protection', 'begin', 'with', 'you', 'you', 'still', 'have', 'the', 'audacity', 'to', 'share', 'personal', 'contact', 'with', 'strange', 'company', 'or', 'people', 'perpotedly', 'a', 'attached', 'to', 'follow', 'up', 'on', 'my', 'internet', 'issue', 'this', 'is', 'totally', 'unacceptable', 'under', 'the', 'law', 'i', 'seek', 'for', 'an', 'explanation']"
sakatatwo safaricom safaricomcare the standard response unfortunately,0,0,0,0,211,"October 28, 2024 at 01:40 PM",Customer care complaint,80,13,1,"['sakatatwo', 'safaricom', 'safaricomcare', 'the', 'standard', 'response', 'unfortunately']","['sakatatwo', 'safaricom', 'safaricomcare', 'the', 'standard', 'response', 'unfortunately']"
astaag safaricom have you informed safaricomcare or they have given you the standard response take it up with the authorities,1,0,1,0,365,"October 28, 2024 at 10:16 AM",Customer care complaint,133,24,1,"['astaag', 'safaricom', 'have', 'you', 'informed', 'safaricomcare', 'or', 'they', 'have', 'given', 'you', 'the', 'standard', 'response', 'take', 'it', 'up', 'with', 'the', 'authorities']","['astaag', 'safaricom', 'have', 'you', 'informed', 'safaricomcare', 'or', 'they', 'have', 'given', 'you', 'the', 'standard', 'response', 'take', 'it', 'up', 'with', 'the', 'authority']"
astaag safaricom nimeona kwa truecaller inajiandika spam may he never see peace kwa maisha yake pamoja na familia yake me kuna mwenye nililipa 9k za supplier na hakuwahi rudishaik the pain,1,0,0,0,110,"October 28, 2024 at 09:29 AM",Customer care complaint,197,36,3,"['astaag', 'safaricom', 'nimeona', 'kwa', 'truecaller', 'inajiandika', 'spam', 'may', 'he', 'never', 'see', 'peace', 'kwa', 'maisha', 'yake', 'pamoja', 'na', 'familia', 'yake', 'me', 'kuna', 'mwenye', 'nililipa', '9k', 'za', 'supplier', 'na', 'hakuwahi', 'rudishaik', 'the', 'pain']","['astaag', 'safaricom', 'nimeona', 'kwa', 'truecaller', 'inajiandika', 'spam', 'may', 'he', 'never', 'see', 'peace', 'kwa', 'maisha', 'yake', 'pamoja', 'na', 'familia', 'yake', 'me', 'kuna', 'mwenye', 'nililipa', '9k', 'za', 'supplier', 'na', 'hakuwahi', 'rudishaik', 'the', 'pain']"
eddiestyleske safaricom,0,0,0,0,565,"October 28, 2024 at 09:28 AM",Neutral,29,5,1,"['eddiestyleske', 'safaricom']","['eddiestyleske', 'safaricom']"
kimsay safaricom yeap na akishika haongei,0,0,1,0,570,"October 28, 2024 at 09:24 AM",Neutral,48,9,1,"['kimsay', 'safaricom', 'yeap', 'na', 'akishika', 'haongei']","['kimsay', 'safaricom', 'yeap', 'na', 'akishika', 'haongei']"
astaag safaricom hashiki simu,1,0,1,0,583,"October 28, 2024 at 09:23 AM",Neutral,33,6,1,"['astaag', 'safaricom', 'hashiki', 'simu']","['astaag', 'safaricom', 'hashiki', 'simu']"
safaricomplc safaricom youre a disgracehow can you people sale me a line which had been used to borrow a fuliza loan by another person nd also how can you be deducting my credit yet havent downloaded any skiza tune,1,0,1,0,59,"October 28, 2024 at 09:20 AM",Customer care complaint,222,48,2,"['safaricomplc', 'safaricom', 'youre', 'a', 'disgracehow', 'can', 'you', 'people', 'sale', 'me', 'a', 'line', 'which', 'had', 'been', 'used', 'to', 'borrow', 'a', 'fuliza', 'loan', 'by', 'another', 'person', 'nd', 'also', 'how', 'can', 'you', 'be', 'deducting', 'my', 'credit', 'yet', 'havent', 'downloaded', 'any', 'skiza', 'tune']","['safaricomplc', 'safaricom', 'youre', 'a', 'disgracehow', 'can', 'you', 'people', 'sale', 'me', 'a', 'line', 'which', 'had', 'been', 'used', 'to', 'borrow', 'a', 'fuliza', 'loan', 'by', 'another', 'person', 'nd', 'also', 'how', 'can', 'you', 'be', 'deducting', 'my', 'credit', 'yet', 'havent', 'downloaded', 'any', 'skiza', 'tune']"
astaag safaricom its absurd that despite safaricom introducing safety features in mpesa including asking the sender to confirm the name of the recipient before hitting the send button we still find ourselves sending money to the wrong people how will the salamu help you at the end of the day,1,0,0,0,547,"October 28, 2024 at 08:50 AM",MPESA complaint,301,57,2,"['astaag', 'safaricom', 'its', 'absurd', 'that', 'despite', 'safaricom', 'introducing', 'safety', 'features', 'in', 'mpesa', 'including', 'asking', 'the', 'sender', 'to', 'confirm', 'the', 'name', 'of', 'the', 'recipient', 'before', 'hitting', 'the', 'send', 'button', 'we', 'still', 'find', 'ourselves', 'sending', 'money', 'to', 'the', 'wrong', 'people', 'how', 'will', 'the', 'salamu', 'help', 'you', 'at', 'the', 'end', 'of', 'the', 'day']","['astaag', 'safaricom', 'it', 'absurd', 'that', 'despite', 'safaricom', 'introducing', 'safety', 'feature', 'in', 'mpesa', 'including', 'asking', 'the', 'sender', 'to', 'confirm', 'the', 'name', 'of', 'the', 'recipient', 'before', 'hitting', 'the', 'send', 'button', 'we', 'still', 'find', 'ourselves', 'sending', 'money', 'to', 'the', 'wrong', 'people', 'how', 'will', 'the', 'salamu', 'help', 'you', 'at', 'the', 'end', 'of', 'the', 'day']"
helbpage safaricom helbpage nadial 642 lakini inasema try again later for 2weeks na siwezi acces surepayy whats happening,0,0,0,0,4,"October 28, 2024 at 08:38 AM",Customer care complaint,125,22,1,"['helbpage', 'safaricom', 'helbpage', 'nadial', '642', 'lakini', 'inasema', 'try', 'again', 'later', 'for', '2weeks', 'na', 'siwezi', 'acces', 'surepayy', 'whats', 'happening']","['helbpage', 'safaricom', 'helbpage', 'nadial', '642', 'lakini', 'inasema', 'try', 'again', 'later', 'for', '2weeks', 'na', 'siwezi', 'acces', 'surepayy', 'whats', 'happening']"
dp wants the kampala minister investigated i guess its time for a cleanup on aisle well the whole city kiteezifiasco kccaug eriktenhag safaricom ineos pointdepenalty manutd unitedxavsackrain pentagonfirstlady,2,1,0,0,91,"October 28, 2024 at 08:14 AM",Neutral,255,46,3,"['dp', 'wants', 'the', 'kampala', 'minister', 'investigated', 'i', 'guess', 'its', 'time', 'for', 'a', 'cleanup', 'on', 'aisle', 'well', 'the', 'whole', 'city', 'kiteezifiasco', 'kccaug', 'eriktenhag', 'safaricom', 'ineos', 'pointdepenalty', 'manutd', 'unitedxavsackrain', 'pentagonfirstlady']","['dp', 'want', 'the', 'kampala', 'minister', 'investigated', 'i', 'guess', 'it', 'time', 'for', 'a', 'cleanup', 'on', 'aisle', 'well', 'the', 'whole', 'city', 'kiteezifiasco', 'kccaug', 'eriktenhag', 'safaricom', 'ineos', 'pointdepenalty', 'manutd', 'unitedxavsackrain', 'pentagonfirstlady']"
kcbgroup kcbcare whats wrong am told by safaricom that you are one authorising the my mpesa suspection i need money urgently please,0,1,2,0,67,"October 28, 2024 at 07:49 AM",MPESA complaint,140,30,2,"['kcbgroup', 'kcbcare', 'whats', 'wrong', 'am', 'told', 'by', 'safaricom', 'that', 'you', 'are', 'one', 'authorising', 'the', 'my', 'mpesa', 'suspection', 'i', 'need', 'money', 'urgently', 'please']","['kcbgroup', 'kcbcare', 'whats', 'wrong', 'am', 'told', 'by', 'safaricom', 'that', 'you', 'are', 'one', 'authorising', 'the', 'my', 'mpesa', 'suspection', 'i', 'need', 'money', 'urgently', 'please']"
astaag safaricom 17k,0,0,0,0,576,"October 28, 2024 at 04:52 AM",Neutral,26,6,1,"['astaag', 'safaricom', '17k']","['astaag', 'safaricom', '17k']"
covinski mbaialvin safaricom i will no other option,1,0,0,0,938,"October 27, 2024 at 07:46 PM",Neutral,58,12,1,"['covinski', 'mbaialvin', 'safaricom', 'i', 'will', 'no', 'other', 'option']","['covinski', 'mbaialvin', 'safaricom', 'i', 'will', 'no', 'other', 'option']"
astaag safaricom shieet,1,0,0,0,773,"October 27, 2024 at 07:25 PM",Hate Speech,28,6,1,"['astaag', 'safaricom', 'shieet']","['astaag', 'safaricom', 'shieet']"
useruvwxyz safaricom eeeei tajiri niwekee hiyo 72 mpesa l,1,0,0,0,704,"October 27, 2024 at 07:10 PM",Neutral,61,11,1,"['useruvwxyz', 'safaricom', 'eeeei', 'tajiri', 'niwekee', 'hiyo', '72', 'mpesa', 'l']","['useruvwxyz', 'safaricom', 'eeeei', 'tajiri', 'niwekee', 'hiyo', '72', 'mpesa', 'l']"
