Content,Cleaned_Text
"@safaricom you are the worst company Kenyan citizens have at this point.
#BoycottSafaricom",you are the worst company Kenyan citizens have at this point BoycottSafaricom
@safaricom,
"Be a ware of Mpox : Kampala Capital City Authority's public health directorate has reported a sharp rise in Mpox cases across its five divisions, with Kawempe having the highest number.@NyegeNyehe2024
@marykoome
@Safaricom
@UCDA https://t.co/YsYiicdkbH",Be a ware of Mpox Kampala Capital City Authoritys public health directorate has reported a sharp rise in Mpox cases across its five divisions with Kawempe having the highest number
@bozgabi @Safaricom is the big enemy,is the big enemy
@techbro1968 @Purple_Janette @SafaricomPLC @StanbicKE @safaricom Nimeona..eww.,Nimeonaeww
@its_murugi @Purple_Janette @SafaricomPLC @StanbicKE @safaricom You should check out her replies...honestly pathetic😂😂,You should check out her replieshonestly pathetic
@techbro1968 @Purple_Janette @SafaricomPLC @StanbicKE @safaricom I blocked her so fast. I don't know who she is and why she's talking to me lmao,I blocked her so fast I do not know who she is and why shes talking to me lmao
@Purple_Janette @its_murugi @SafaricomPLC @StanbicKE @safaricom You woke up and the first thing you do is spew garbage,You woke up and the first thing you do is spew garbage
@its_murugi @SafaricomPLC @StanbicKE Just do it silently. Nobody cares about your lazy life. @Safaricom forever,Just do it silently Nobody cares about your lazy life forever
"@BernardKavuli @SafaricomPLC @DCI_Kenya @FGaitho237 @MkenyaMzi @DictatorWatch @safaricom, we enrich you thugs then you sell us, we gave safaricom power we must take it back ,#rejectsafaricom",we enrich you thugs then you sell us we gave safaricom power we must take it back rejectsafaricom
"@gabrieloguda @safaricom , safaricom doesn't care about kenyans who are the customers because we gave them the power if monopoly iys the right time we take away that power",safaricom does not care about kenyans who are the customers because we gave them the power if monopoly iys the right time we take away that power
@_James041 @safaricom is the enemy,is the enemy
@WilliamsRuto @MusaliaMudavadi @DCI_Kenya @Safaricom #Whereisshe https://t.co/95sZiNBTuL,Whereisshe
What's not happening with @safaricom look at that okoa statement of next month on date 3 and yet we are still in October? https://t.co/wL2OwuLzEP,Whats not happening with look at that okoa statement of next month on date and yet we are still in October?
@FGaitho237 @SafaricomPLC @VodafoneUK @neuraltech @safaricom Judas of today,Judas of today
@nyanchwani I really feel that @NationAfrica is on a charm offensive here. They have that story on the headline and go ahead to only look at @Safaricom while not mentioning Airtel or Finserve. Not once. Really lazy investigation. Could it be that they do not get adverts from the telco?,I really feel that is on a charm offensive here They have that story on the headline and go ahead to only look at while not mentioning Airtel or Finserve Not once Really lazy investigation Could it be that they do not get adverts from the telco?
@NationAfrica @safaricom good bye,good bye
@C_NyaKundiH Airtel will never succeed  coz @safaricom  and government  are criminals,Airtel will never succeed coz and government are criminals
@DCI_Kenya But @safaricom has the information!!.,But has the information!
@edgarwabwire_ @SafaricomPLC @Safaricom  wanawork very close with the government... they are criminals,wanawork very close with the government they are criminals
"@SafaricomPLC unauthorized release of data is a blatant breach of trust and violation of Article 31 and the Data Protection Act 2019. Our privacy isn’t a corporate plaything, it's a fundamental right that must be respected. @Safaricom must be held accountable. #boycottsafaricom https://t.co/doGvU7kx7y",unauthorized release of data is a blatant breach of trust and violation of Article and the Data Protection Act Our privacy isnt a corporate plaything it is a fundamental right that must be respected must be held accountable boycottsafaricom
@JaneFKyalo we won't forget what @safaricom did to our own fellows on 25th June UpTo now there  is still many Genzs missing .,we will not forget what did to our own fellows on th June UpTo now there is still many Genzs missing
"@FGaitho237 @SafaricomPLC On a serious note, Kenyans should stop using @safaricom. I know they will, it's just a matter of time.",On a serious note Kenyans should stop using I know they will it is just a matter of time
"@NationAfrica @safaricom you are shamefull and infact am cutting my ties with safaricom, and the rest of kenyans should, they are taxing mpesa services soo no need of safaricom again , useless shameless company 🚮",you are shamefull and infact am cutting my ties with safaricom and the rest of kenyans should they are taxing mpesa services soo no need of safaricom again useless shameless company
@NationAfrica Airtel is more secured they only need to improve on service delivery @safaricom no longer secure look at the rate at which kenyans are being abducted because of using safaricom line.,Airtel is more secured they only need to improve on service delivery no longer secure look at the rate at which kenyans are being abducted because of using safaricom line
"@HonMainaNjenga_ #boycottsafaricom
#FreeAoko 
#RutoMustGo 
@safaricom",boycottsafaricom FreeAoko RutoMustGo
Fcuk you @Safaricom,Fcuk you
"@NationAfrica How much of  this info is used in actual crime solving? Looks like their main aim is to settle political scores which is illegal in the first place, freedom of speech.@Safaricom your view on this ?",How much of this info is used in actual crime solving? Looks like their main aim is to settle political scores which is illegal in the first place freedom of speech your view on this ?
"@Safaricom, I thought Data protection begins with you.

You still have the audacity to share personal contacts with strange companies or people perpotedly as attached to follow up on My internet issues.

This is totally unacceptable under the law.

I seek for an explanation. https://t.co/tJfmKfWZ1L",I thought Data protection begins with you You still have the audacity to share personal contacts with strange companies or people perpotedly as attached to follow up on My internet issues This is totally unacceptable under the law I seek for an explanation
"@SakataTwo @safaricom @Safaricom_Care ""The standard response "" Unfortunately....",The standard response Unfortunately
@Asta_ag_ @safaricom Have you informed @Safaricom_Care or they have given you the standard response 'take it up with the authorities',Have you informed or they have given you the standard response take it up with the authorities
"@Asta_ag_ @safaricom Nimeona kwa truecaller inajiandika Spam.

May he never see peace kwa maisha yake pamoja na familia yake.
Me kuna mwenye nililipa 9k za supplier na hakuwahi rudisha😭Ik the pain.",Nimeona kwa truecaller inajiandika Spam May he never see peace kwa maisha yake pamoja na familia yake Me kuna mwenye nililipa k za supplier na hakuwahi rudishaIk the pain
@eddiestyles_ke @safaricom 😂😂,
"@_kimsay @safaricom Yeap
Na akishika haongei....",Yeap Na akishika haongei
@Asta_ag_ @safaricom Hashiki simu,Hashiki simu
"@SafaricomPLC @Safaricom you're a disgrace,how can you people sale me a line which had been used to borrow a fuliza loan by another person,
Nd also how can you be deducting my credit yet haven't downloaded any skiza tune??",you are a disgracehow can you people sale me a line which had been used to borrow a fuliza loan by another person Nd also how can you be deducting my credit yet have not downloaded any skiza tune?
"@Asta_ag_ @safaricom It's absurd that despite Safaricom introducing safety features in mpesa, including asking the sender to confirm the name of the recipient before hitting the send button, we still find ourselves sending money to the wrong people. How will the salamu help you at the end of the day?",Its absurd that despite Safaricom introducing safety features in mpesa including asking the sender to confirm the name of the recipient before hitting the send button we still find ourselves sending money to the wrong people How will the salamu help you at the end of the day?
@HELBpage @safaricom @HELBpage nadial 642 lakini inasema try again later for 2weeks na siwezi acces surepayy what's happening,nadial lakini inasema try again later for weeks na siwezi acces surepayy what is happening
"DP wants the Kampala Minister investigated?

I guess it’s time for a cleanup on aisle... well, the whole city! 

#KiteeziFiasco
@KCCAUG @ErikTenHag @Safaricom @INEOS  @_PointDePenalty  @ManUtd  @UnitedXavSackRain @PentagonFirstLady https://t.co/2NUQTaihm6",DP wants the Kampala Minister investigated? I guess its time for a cleanup on aisle well the whole city! KiteeziFiasco
"@KCBGroup @kcbcare, what's wrong?? Am told by @safaricom that you are one authorising the my  mpesa suspection,
I need money urgently please",what is wrong? Am told by that you are one authorising the my mpesa suspection I need money urgently please
@Asta_ag_ @safaricom 17k 🫢,k
"@Covinski_ @Mbai_Alvin @safaricom I will..
No other option",I will No other option
@Asta_ag_ @safaricom Shieet.,Shieet
"@User_UVWXYZ @safaricom Eeeei Tajiri niwekee hiyo 72 mpesa 
L",Eeei Tajiri niwekee hiyo mpesa L
@User_UVWXYZ @Mbai_Alvin @safaricom Unaeza amua you teach him a lesson and report to the police,Unaeza amua you teach him a lesson and report to the police
@User_UVWXYZ @safaricom @Safaricom_Care how are you of help,how are you of help
"Yoh
I mistakenly sent cash (MPESA) to this guy na amekataa kureverse 
Msalimieni 
0706040099
Safaricom @Safaricom https://t.co/vGSdPflYg3",Yoh I mistakenly sent cash MPESA to this guy na amekataa kureverse Msalimieni Safaricom
Mimi sunday poa juu kwanzi sunday @SafaricomPLC  waliniambie you locked my @Safaricom line until now  l have not got genuine reason kindly help,Mimi sunday poa juu kwanzi sunday waliniambie you locked my line until now l have not got genuine reason kindly help
"@Safaricom nyinyi ni mafala sana,,, u did system updates yester night, I personally thought that there were improvements only to wake up stranded till now, I can't transact, I can't buy airtime through M-pesa, I can't bug bundles through M-pesa nor even buy minutes, wtf is wrong",nyinyi ni mafala sana u did system updates yester night I personally thought that there were improvements only to wake up stranded till now I cannot transact I cannot buy airtime through Mpesa I cannot bug bundles through Mpesa nor even buy minutes wtf is wrong
@safaricom visa ya nini lol,visa ya nini lol
@neverforgetferb @safaricom @Safaricom_Care @peterndengwa,
@neverforgetferb @safaricom @Safaricom_Care @Safaricom_Care,
"@Safaricom CEO peter Ndegwa, you are Goated.",CEO peter Ndegwa you are Goated
@neverforgetferb @safaricom @Safaricom_Care @Safaricom_Care @SafaricomPLC,
"If you are a poor wise man,your voice won't be heard. 
@safaricom
#Povertyistheenemy
#blessedsunday https://t.co/bPkoBoYkDk",If you are a poor wise manyour voice will not be heard Povertyistheenemy blessedsunday
@neverforgetferb @safaricom @Safaricom_Care Kindly resolve the issue ASAP.,Kindly resolve the issue ASAP
@neverforgetferb @safaricom @Safaricom_Care @s,
@neverforgetferb @safaricom @Safaricom_Care @SafaricomPLC @Safaricom_Care  their is a problem in recommendation commission,their is a problem in recommendation commission
@neverforgetferb @safaricom @Safaricom_Care Bingwa down @Safaricom_Care @SafaricomPLC,Bingwa down
@neverforgetferb @safaricom @Safaricom_Care @Safaricom_Care,
@neverforgetferb @safaricom @Safaricom_Care @safarico,
"@neverforgetferb @safaricom @Safaricom_Care @Safaricom @Safaricom_Care Please look into this issue, as it is affecting customer trust.",Please look into this issue as it is affecting customer trust
@neverforgetferb @safaricom @Safaricom_Care Saf mtatuua jameni 😂,Saf mtatuua jameni
@neverforgetferb @safaricom @Safaricom_Care @Safaricom_Care  it is really affecting us work on it,it is really affecting us work on it
@neverforgetferb @safaricom @Safaricom_Care What is wrong with bingwa sokoni 😭,What is wrong with bingwa sokoni
"@neverforgetferb @safaricom @Safaricom_Care Kwanza customers wanataroka.....we are loosing customers day by day because the messages zinasema recommended but customers wanasema hatujapata kitu,",Kwanza customers wanatarokawe are loosing customers day by day because the messages zinasema recommended but customers wanasema hatujapata kitu
"@neverforgetferb @safaricom @Safaricom_Care @SafaricomPLC @Safaricom_Care 

Kindly Resolve this issue. We are recommending bingwa sokoni offers to customers , but they are not receiving the offers , yet on our end it appears to be successful 

Reply",Kindly Resolve this issue We are recommending bingwa sokoni offers to customers but they are not receiving the offers yet on our end it appears to be successful Reply
"@neverforgetferb @safaricom @Safaricom_Care Imagine a 1.25gb daily customer having issues all of a sudden this is to much to loose ( I even tried recommending her other line using my own money no data ) this is not a even double loss

Please look into it",Imagine a gb daily customer having issues all of a sudden this is to much to loose I even tried recommending her other line using my own money no data this is not a even double loss Please look into it
@neverforgetferb @safaricom @Safaricom_Care Bingwa sokoni agent are facing data recommendations issues reported yesterday no action taken kindly do something also clients wakinunua data commission tunapata but hawapati data....,Bingwa sokoni agent are facing data recommendations issues reported yesterday no action taken kindly do something also clients wakinunua data commission tunapata but hawapati data
@neverforgetferb @safaricom @Safaricom_Care @Safaricom_Care @Safaricom,
@neverforgetferb @safaricom @Safaricom_Care Pia Kuna commissions hamkutuwekea Jana...Kindly check,Pia Kuna commissions hamkutuwekea JanaKindly check
@neverforgetferb @safaricom @Safaricom_Care @Safaricom_Care please help sort this.... Clients think we are stealing from them... And the rate at which are calling us cannot be explained,please help sort this Clients think we are stealing from them And the rate at which are calling us cannot be explained
"@neverforgetferb @safaricom @Safaricom_Care @Safaricom_Care @SafaricomPLC check on your system jameni.. The backlog affecting Bingwa sokoni has lasted for more than 5 days now.
Currently airtime is being deducted yet clients are not receiving their packages",check on your system jameni The backlog affecting Bingwa sokoni has lasted for more than days now Currently airtime is being deducted yet clients are not receiving their packages
@neverforgetferb @safaricom @Safaricom_Care @SafaricomPLC  @Safaricom_Care  kindly mtegenezeni,kindly mtegenezeni
@neverforgetferb @safaricom @Safaricom_Care Mbona Recommendations zingine Aziendi??  Check the issue napata commission na client apati data??,Mbona Recommendations zingine Aziendi? Check the issue napata commission na client apati data?
"@Safaricom @Safaricom_Care Bingwa Sokoni agents are facing data recommendation issues reported yesterday, yet no action taken. Some clients aren't receiving data despite successful submissions , with airtime already deducted. This is causing losses &amp; eroding customer trust.",Bingwa Sokoni agents are facing data recommendation issues reported yesterday yet no action taken Some clients are not receiving data despite successful submissions with airtime already deducted This is causing losses amp eroding customer trust
SAFARICOM YOU HAVE MY HEART JUST FOR TONIGHT🌙 THANK YOU❤@Safaricom,SAFARICOM YOU HAVE MY HEART JUST FOR TONIGHT THANK YOU
@OgukGenerol @safaricom 😤😤😤😤😤,
Niache heist ipite boss kwani mi ni nugu. @Safaricom,Niache heist ipite boss kwani mi ni nugu
@safaricom under maintainance calls and data are free till 6:00 am https://t.co/XPMkm5TL3a,under maintainance calls and data are free till am
@Safaricom_Care @safaricom please call me on 0729377171.I have some real problem with an Mpesa transaction that took place in the morning and hasn't reflect till now in my account please,please call me on I have some real problem with an Mpesa transaction that took place in the morning and has not reflect till now in my account please
@StocksMarket_ke I'm aware @safaricom and @KenGenKenya have those 'visuals' in their results.,I am aware and have those visuals in their results
@Safaricom is such a poor service provider. Nobody can imagine this in 2024.U might be mistaken to think that we're somewhere in 1998 where EDGE was something,is such a poor service provider Nobody can imagine this in U might be mistaken to think that we are somewhere in where EDGE was something
"Celebrating @safaricom Safaricom's 24th with cake, smiles, and gratitude! 🎉 
Cheers to an amazing partnership, empowering millions of Kenyans through connectivity. Here’s to many more years of success together! 🎂✨ 
#HappyBirthday #Partnership #Connectivity #StrongerTogether https://t.co/lxiSWcPcXX",Celebrating Safaricoms th with cake smiles and gratitude! Cheers to an amazing partnership empowering millions of Kenyans through connectivity Heres to many more years of success together! HappyBirthday Partnership Connectivity StrongerTogether
@Safaricom_Care @_LynchT @safaricom wacheni za ovyo nimeteseka sana,wacheni za ovyo nimeteseka sana
"@safaricom, how is this? How did 690+7=700? https://t.co/a3xWrlje4L",how is this? How did ?
"Wadau ni @Safaricom Tena.Safaricom has been at the lead of expanding internet connectivity in Kenya.Safaricom have enabled  mobile internet accessible to a large portion. This connectivity supports social interaction.#SafaricomAt24 #AsanteKwaMiaka24
@mg_zaef and @korir_cool . https://t.co/Eu9G0zym4m",Wadau ni TenaSafaricom has been at the lead of expanding internet connectivity in KenyaSafaricom have enabled mobile internet accessible to a large portion This connectivity supports social interactionSafaricomAt AsanteKwaMiaka and
@safaricom..data scammer nkest...,data scammer nkest
@Utdfuture Hawakunitumia shiet manh @safaricom,Hawakunitumia shiet manh
@C_NyaKundiH @Safaricom is a sellouts. We don't trust them with our data,is a sellouts We do not trust them with our data
"@citizentvkenya @Safaricom should be ashamed, people should stop using safaricom internet, and calls they have spit in our faces yet we make them rich, they disclosed location of protesters leading to their deaths 🚮🚮🚮",should be ashamed people should stop using safaricom internet and calls they have spit in our faces yet we make them rich they disclosed location of protesters leading to their deaths
"Vile @Safaricom imekua game-changer kwa daily life yangu si ati kidogo! From zile za kubonga na mabeshte kila siku to growing my hustle through M-Pesa, hii ni kampuni imenijenga.

#SafaricomAt24 #AsanteKwaMiaka24
@SafaricomPLC https://t.co/aqMA7ASVAU",Vile imekua gamechanger kwa daily life yangu si ati kidogo! From zile za kubonga na mabeshte kila siku to growing my hustle through MPesa hii ni kampuni imenijenga SafaricomAt AsanteKwaMiaka
@SafaricomPLC @safaricom  bana ata za birthday hamukuwa nijenga chezeni kama nyinyi nione movie pale YouTube,bana ata za birthday hamukuwa nijenga chezeni kama nyinyi nione movie pale YouTube
@TonuiRop_ @safaricom @SafaricomPLC Amazing data offers,Amazing data offers
"@Safaricom jamani,7 Bob ni kitu Cha kuniambia congratulations!Si hata mngefikisha 10 ya kiberiti!",jamani Bob ni kitu Cha kuniambia congratulations!Si hata mngefikisha ya kiberiti!
"@citizentvkenya We will never forget or forgive
@Safaricom your actions betrayed us all it's just a matter of time we ditch you",We will never forget or forgive your actions betrayed us all it is just a matter of time we ditch you
@A_Musamali @safaricom @KoinangeJeff Haha 😂🤣🤣,Haha
@citizentvkenya @KoinangeJeff @citizentvkenya and @safaricom  I love the management skills of this man @peterndegwa CEO safaricom would like to offer him a gift of a bull .Kindly how can I reach him to tender my gift to him . Am from Homabay County -Ndhiwa Sub-County,and I love the management skills of this man CEO safaricom would like to offer him a gift of a bull Kindly how can I reach him to tender my gift to him Am from Homabay County Ndhiwa SubCounty
"#JKLive ask the CEO whether it is @Safaricom's policy to scam customers on bundles &amp; through their ever loading WiFi.
Does he think they can survive competition? @KoinangeJeff",JKLive ask the CEO whether it is s policy to scam customers on bundles amp through their ever loading WiFi Does he think they can survive competition?
@Safaricom_Care Mlinitumia 7 bob na mkafuliza tena .. maajabu 😁@safaricom,Mlinitumia bob na mkafuliza tena maajabu
".@Safaricom partners with MultiChoice to offer @ShowmaxKenya, DStv streaming https://t.co/lG58RDw0v1",partners with MultiChoice to offer DStv streaming
"@mauascents @SafaricomPLC @DeeKiluu_ My first ever kredo 20 that I bought
I bought internet bundles and downloaded this game
@SafaricomPLC 
@Safaricom@24 https://t.co/Bwp91he3vy",My first ever kredo that I bought I bought internet bundles and downloaded this game
"@SafaricomPLC @SafaricomPLC @Safaricom
 now that you're celebrating 24yrs in existence congratulations kwanza then being one of your valued customers for over 10yrs bana mkinipea handset moja ya nguvu kiroho safi tu inaweza kuwa mbaya kweli? #SafaricomAt24 #AsanteKwaMiaka24",now that you are celebrating yrs in existence congratulations kwanza then being one of your valued customers for over yrs bana mkinipea handset moja ya nguvu kiroho safi tu inaweza kuwa mbaya kweli? SafaricomAt AsanteKwaMiaka
@HELBpage @safaricom.Withdrawal problem it tells me that my number has changed 40884383.Pliz check dm,Withdrawal problem it tells me that my number has changed Pliz check dm
"@MultiChoice_Kenya discounts DStv Compact subscription by 10% for those bundling @Safaricom Home Fibre (Bronze) with DStv Stream ===&gt; total cost per month is Kshs 6,399 https://t.co/wTKmlqjyun",discounts DStv Compact subscription by for those bundling Home Fibre Bronze with DStv Stream gt total cost per month is Kshs
"@MultiChoice_Kenya discounts DStv Compact subscription by 10% for those bundling @Safaricom Home Fibre (Bronze) with DStv Stream ===&gt; total cost per month is Kshs 6,399 https://t.co/m5roLoUoyy",discounts DStv Compact subscription by for those bundling Home Fibre Bronze with DStv Stream gt total cost per month is Kshs
"@Safaricom has shares with SHIF, that's why they want that petition by Okiya Omtatah be withdrawn.",has shares with SHIF that is why they want that petition by Okiya Omtatah be withdrawn
@safaricom kindly and urgently up your game on home internet Fibre!!!! This month alone I've not had internet more than twice !!!! The inconvenience is real!!!,kindly and urgently up your game on home internet Fibre! This month alone I have not had internet more than twice ! The inconvenience is real!
"@Safaricom_Care @Safaricom The phone number cannot receive AirTime Credit either because it is too new, it is not a safaricom prepay line or has expired.What Does it  Mean??",The phone number cannot receive AirTime Credit either because it is too new it is not a safaricom prepay line or has expiredWhat Does it Mean?
"Fuck @safaricom network. Pathetic, horrible, terrible and ugly.",Fuck network Pathetic horrible terrible and ugly
@Safaricom mpesa shida gani,mpesa shida gani
Messed Safaricom care. A global transfer that is not complete like for Tanzania will show on the system that it's complete but the recipient is not in receipt hence a reverse is necessary. This can't be done in a chat with Zuri or the computer system. @Safaricom_Care  @safaricom,Messed Safaricom care A global transfer that is not complete like for Tanzania will show on the system that it is complete but the recipient is not in receipt hence a reverse is necessary This cannot be done in a chat with Zuri or the computer system
"It starts with the heart 💪💪🔥
@safaricom 7s 2024 https://t.co/BYNWF2HtJE",It starts with the heart s
@FourthArchetype @safaricom Goddamn it how did I forget about this,Goddamn it how did I forget about this
@FourthArchetype For sure bro and no ad has ever bitten that @safaricom,For sure bro and no ad has ever bitten that
"@SafaricomPLC You have locked my M-Pesa account (0702,,,,, ) along with all my funds without any valid reason. I am currently stranded as I cannot access my money. Please unlock my account immediately so I can withdraw my funds. After that, I will discontinue using your service.""

@Safaricom",You have locked my MPesa account along with all my funds without any valid reason I am currently stranded as I cannot access my money Please unlock my account immediately so I can withdraw my funds After that I will discontinue using your service
Here is the money they are claiming they sent to use to block my mpesa let them be greeted...Comrades Ria @Safaricom https://t.co/M8NdPd2vQH,Here is the money they are claiming they sent to use to block my mpesa let them be greetedComrades Ria
@ntvkenya @safaricom has been the biggest enemy to Kenyans,has been the biggest enemy to Kenyans
"@omwambaKE @safaricom ata hamna haya!sell outs!
@KenyaPower_Care washenzi wakubwa",ata hamna haya!sell outs! washenzi wakubwa
@omwambaKE @safaricom and @KenyaPower_Care,and
"@HELBpage @WilliamsRuto 
@HELBpage e
@ICCT_TheHague Helb has refused to furnd is yet corades we are suffering, fee payment date line is around the crn
If they do not release by the course of this week 
Then we will be in the streets #release funds
o@KCBGroup @KeEquityBank 
@safaricom",e Helb has refused to furnd is yet corades we are suffering fee payment date line is around the crn If they do not release by the course of this week Then we will be in the streets release funds o
"@omwambaKE @Safaricom
To reverse money paid to the wrong till or paybill no is just hectic,
Why can't they just have an option of speaking to the customer service directly?",To reverse money paid to the wrong till or paybill no is just hectic Why cannot they just have an option of speaking to the customer service directly?
@omwambaKE @safaricom,
@omwambaKE I want to urge safaricom @safaricom to listen to Meri guy to remove My dear in addressing their customers,I want to urge safaricom to listen to Meri guy to remove My dear in addressing their customers
@omwambaKE @safaricom,
"@safaricom 
Mnajifanya mmeongeza net just to punguza it every night.. mbafikiria wakenya ni wajinga 
#angukanayo 
#safaricomwezi",Mnajifanya mmeongeza net just to punguza it every night mbafikiria wakenya ni wajinga angukanayo safaricomwezi
It's okay @safaricom https://t.co/oJdzuyrkFn,Its okay
"Safaricom Faiba is the big thing. I stream alot of online video contents on streaming sites and I needed a very fast internet speed. So I went for @safaricom faiba and I have never regretted 
@SpiceFMKE @EricLatiff #TheSituationRoom",Safaricom Faiba is the big thing I stream alot of online video contents on streaming sites and I needed a very fast internet speed So I went for faiba and I have never regretted TheSituationRoom
@BravinYuri I just hate @safaricom,I just hate
"Horrendous service from Safaricom Home Fibre....4 days to act and counting. Unacceptable, unbelievable. Ticket WO0017296 account 11153814. @Safaricom# @SafaricomHomeFibre# @Safaricomcustomercare#",Horrendous service from Safaricom Home Fibre days to act and counting Unacceptable unbelievable Ticket WO account
"@janetmachuka_ Apologies Our systems are down, and the technical teams are on the ground to make sure services are restored as a matter of priority. 
@safaricom @KenyaPower_Care",Apologies Our systems are down and the technical teams are on the ground to make sure services are restored as a matter of priority
"@elonmusk @elonmusk We Kenyans have heard about your talks with @Safaricom. While a partnership sounds interesting, we desperately need competition to drive better services and prices. Please focus on making Starlink more affordable for us! #KenyaNeedsCompetition",We Kenyans have heard about your talks with While a partnership sounds interesting we desperately need competition to drive better services and prices Please focus on making Starlink more affordable for us! KenyaNeedsCompetition
"@elonmusk We Kenyans have heard about your talks with @Safaricom. While a partnership sounds interesting, we desperately need competition to drive better services and prices. Please focus on making Starlink more affordable for us! #KenyaNeedsCompetition",We Kenyans have heard about your talks with While a partnership sounds interesting we desperately need competition to drive better services and prices Please focus on making Starlink more affordable for us! KenyaNeedsCompetition
@MPESAFdnAcademy @safaricom Na mwatusnitchy huku Tulipe Hustler😂pumbavu nyinyi twaenda Airtel,Na mwatusnitchy huku Tulipe Hustlerpumbavu nyinyi twaenda Airtel
"Earlier this morning, a team from @Safaricom PLC were at the Academy for the launch of Mizizi program.

The objective is to empower young minds with digital skills, innovative thinking, and provide first hand experience in technology. https://t.co/NKvQayGr7Z",Earlier this morning a team from PLC were at the Academy for the launch of Mizizi program The objective is to empower young minds with digital skills innovative thinking and provide first hand experience in technology
@Safaricom_Care 0108238001 . A con man from safaricom @safaricom,A con man from safaricom
@C_NyaKundiH @A_S_Nassir @DCI_Kenya @ODPP_KE @safaricom we need the 10k mpesa message ☝️,we need the k mpesa message
@safaricom mmeniamlia sitanunua data za @airtel kwa Amani kupitia mpesa. Mbona mnareverse transactions?,mmeniamlia sitanunua data za kwa Amani kupitia mpesa Mbona mnareverse transactions?
"3/3
Safaricom's presence in #Tigray could boost connectivity, but with just 12 local hires for 16 cities, it falls short. We encourage @Safaricom to reconsider its hiring strategy or reconsider its operations in the region. #LocalJobs  #SafaricomTigray #Tigray @SafaricomPLC @Safaricom_Care @SafaricomET @SafaricomSacco @hrw @USDOL @SafaricomFDN [https://t.co/XyVcQccD1L]",Safaricoms presence in Tigray could boost connectivity but with just local hires for cities it falls short We encourage to reconsider its hiring strategy or reconsider its operations in the region LocalJobs SafaricomTigray Tigray
@RobertAlai @safaricom @Safaricom_Care Lol when trusting the system doesn't deliver,Lol when trusting the system does not deliver
@RobertAlai @safaricom @Safaricom_Care Safaricom are bunch of jokers,Safaricom are bunch of jokers
"Lakini @Safaricom this is what we get from your new 1,000 Gbps Home Fiber bundle.  https://t.co/cnhtDMUNvx #speedtest  @Safaricom_Care",Lakini this is what we get from your new Gbps Home Fiber bundle speedtest
"🎉 MUSTIEW 2024: A Triumph of Innovation! 🎉

Huge thanks to @Safaricom PLC, @Young Scientist Kenya, @Huawei, &amp; @Three Steers Hotel for an incredible event. The exhibitions and Hackathon showcased groundbreaking solutions, driving real-world impact.🚀

#MUSTIEW2024 #Innovation https://t.co/DzwmFVIDL2",MUSTIEW A Triumph of Innovation! Huge thanks to PLC Scientist Kenya amp Steers Hotel for an incredible event The exhibitions and Hackathon showcased groundbreaking solutions driving realworld impact MUSTIEW Innovation
@Safaricom STOP this village-level thievery! Just because I bought bundles worth Ksh. 50 for 3 hours now my network WON'T operate! Restore my network back and take the bundles IF that's really what you're into! SAFARICOM!,STOP this villagelevel thievery! Just because I bought bundles worth Ksh for hours now my network WONT operate! Restore my network back and take the bundles IF that is really what you are into! SAFARICOM!
@Safaricom STOP this village-level thievery! Just because I bought bundles worth Ksh. 50 for 3 hours now my network WON'T operate! Restore my network back and take the bundles IF that's really the you're into! SAFARICOM!,STOP this villagelevel thievery! Just because I bought bundles worth Ksh for hours now my network WONT operate! Restore my network back and take the bundles IF that is really the you are into! SAFARICOM!
What is the daily maximum limit to receive from abroad? @safaricom,What is the daily maximum limit to receive from abroad?
"@citizentvkenya @elonmusk  Sir, these @Safaricom and Ruto think they own us Kenyans. please never should you listen to their fake suggestions, they are scam. Tesla Solar roofing should takeover power productions inkenya 🇰🇪, KPLC are killing us with bills of their sub-standard services..thank you",Sir these and Ruto think they own us Kenyans please never should you listen to their fake suggestions they are scam Tesla Solar roofing should takeover power productions inkenya KPLC are killing us with bills of their substandard servicesthank you
"After you are done with Solar Roofs, we need you to Marshall your Skylink troops to come deal with @Safaricom.  I fail to understand how Safaricom speeds can't keep up even despite competition ! Not having Internet speeds on a weekend is a total fail",After you are done with Solar Roofs we need you to Marshall your Skylink troops to come deal with I fail to understand how Safaricom speeds cannot keep up even despite competition ! Not having Internet speeds on a weekend is a total fail
"@elonmusk you should reject @Safaricom proposal for a deal. In toto. In fact u should also block the CEO of Safaricom on WhatsApp, on Twitter and elsewhere. 
Sheep shouldn't entertain a ""friendly conversation"" with a hyena.
@amerix 
@AyubAbdikadir 
@C_NyaKundiH 
@DrBKhalwale",you should reject proposal for a deal In toto In fact u should also block the CEO of Safaricom on WhatsApp on Twitter and elsewhere Sheep should not entertain a friendly conversation with a hyena
"@Macosta2547 @EugeneOngeri @KenyaPower_Care @Safaricom &amp; someone else are benefiting from the intentional delays.They removed the prepaid customer meters' data from the ""my power App"" in a case of outright corruption so that customers can spend kshs 10/= on a safaricom line via *977# to ask for the withheld tokens. Wizi!",amp someone else are benefiting from the intentional delaysThey removed the prepaid customer meters data from the my power App in a case of outright corruption so that customers can spend kshs on a safaricom line via to ask for the withheld tokens Wizi!
"If you can't beat them..join them!
Cheers @safaricom https://t.co/092vfDvj6m",If you cannot beat themjoin them! Cheers
